"Designator","Mid X","Mid Y","Layer","Rotation"
"SW101","164mm","-33.6mm","bottom","0.0"
"SW102","152mm","-33.6mm","bottom","0.0"
"SW103","140mm","-33.6mm","bottom","0.0"
"SW104","164mm","-45.6mm","bottom","0.0"
"SW105","152mm","-45.6mm","bottom","0.0"
"SW106","140mm","-45.6mm","bottom","0.0"
"SW107","164mm","-57.6mm","bottom","0.0"
"SW108","152mm","-57.6mm","bottom","0.0"
"SW109","140mm","-57.6mm","bottom","0.0"
"SW110","164mm","-69.6mm","bottom","0.0"
"SW111","152mm","-69.6mm","bottom","0.0"
"SW112","140mm","-69.6mm","bottom","0.0"
"SW201","116.5mm","-57.6mm","bottom","180.0"
"SW202","104.5mm","-57.6mm","bottom","180.0"
"SW203","116.5mm","-69.6mm","bottom","180.0"
"SW204","104.5mm","-69.6mm","bottom","180.0"
"SW205","104.5mm","-33.6mm","bottom","0.0"
