"Designator","Mid X","Mid Y","Layer","Rotation"
"C102","158mm","-34.6mm","top","0.0"
"C103","146mm","-34.6mm","top","0.0"
"C101","170mm","-34.6mm","top","0.0"
"C106","146mm","-46.6mm","top","0.0"
"C104","170mm","-46.6mm","top","0.0"
"C105","158mm","-46.6mm","top","0.0"
"C109","146mm","-58.6mm","top","0.0"
"C107","170mm","-58.6mm","top","0.0"
"C108","158mm","-58.6mm","top","0.0"
"C110","170mm","-70.6mm","top","0.0"
"C111","158mm","-70.6mm","top","0.0"
"C112","146mm","-70.6mm","top","0.0"
"C113","135mm","-42.1mm","top","270.0"
"C114","135mm","-66.1mm","top","270.0"
"C201","111.5mm","-55.6mm","top","270.0"
"C202","109.5mm","-55.6mm","top","270.0"
"C203","111.5mm","-68.1mm","top","270.0"
"C204","109.5mm","-68.1mm","top","270.0"
"C205","111.4mm","-37.8mm","top","90.0"
"C206","114.2mm","-48.8mm","top","90.0"
"J301","145.5mm","-77mm","top","90.0"
"R102","158mm","-30.1mm","top","180.0"
"R103","146mm","-30.1mm","top","180.0"
"R101","170mm","-30.1mm","top","180.0"
"R105","158mm","-37.1mm","top","180.0"
"R106","146mm","-37.1mm","top","180.0"
"R104","170mm","-37.1mm","top","180.0"
"R109","146mm","-42.1mm","top","180.0"
"R107","170mm","-42.1mm","top","180.0"
"R108","158mm","-42.1mm","top","180.0"
"R112","146mm","-49.1mm","top","180.0"
"R110","170mm","-49.1mm","top","180.0"
"R111","158mm","-49.1mm","top","180.0"
"R115","146mm","-54.1mm","top","180.0"
"R113","170mm","-54.1mm","top","180.0"
"R114","158mm","-54.1mm","top","180.0"
"R118","146mm","-61.1mm","top","180.0"
"R116","170mm","-61.1mm","top","180.0"
"R117","158mm","-61.1mm","top","180.0"
"R119","170mm","-66.1mm","top","180.0"
"R120","158mm","-66.1mm","top","180.0"
"R121","146mm","-66.1mm","top","180.0"
"R122","170mm","-73.1mm","top","180.0"
"R123","158mm","-73.1mm","top","180.0"
"R124","146mm","-73.1mm","top","180.0"
"R201","111.5mm","-59.6mm","top","90.0"
"R202","109.5mm","-59.6mm","top","90.0"
"R203","114.5mm","-52.1mm","top","0.0"
"R204","107mm","-52.1mm","top","180.0"
"R205","111.5mm","-72.1mm","top","270.0"
"R206","109.5mm","-72.1mm","top","270.0"
"R207","114.5mm","-64.1mm","top","0.0"
"R208","107mm","-64.1mm","top","180.0"
"R209","110mm","-30.1mm","top","180.0"
"R210","109.5mm","-37.8mm","top","90.0"
"U101","131.5mm","-39.6mm","top","180.0"
"U201","110.5mm","-45.1mm","top","180.0"
"U102","131.5mm","-63.6mm","top","180.0"
"SW301","177.8mm","-42.418mm","top","90.0"
"SW302","177.8mm","-54.864mm","top","90.0"
"SW303","91.85mm","-40.7mm","top","270.0"
"U301","110.5mm","-76.1mm","top","180.0"
